Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Rounds,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Rose Namajunas,Tracy Cortez,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49. Chris Lee 46 - 49. Eric Colon 47 - 48.,Women's Flyweight Bout,2,1,14,-7,12,3,-1,14,0,0,1,0,0,0,0,0.466666667,0,1,15,-10,9,3,3,15,0,0,0,0,-1,0,0,0.116666667,4,8,3,0,4,-1,0,2,1,0,0,2,-1,0,0,3.733333333,4,1,-17,1,-13,-4,0,-17,0,0,0,0,0,0,0,0.233333333,-13,-5,7,-24,9,0,-2,9,-2,0,0,1,-1,0,0,0.616666667
Sean Strickland,Paulo Costa,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Dave Tirelli 49 - 46. Chris Lee 45 - 50. Sal D'amato 46 - 49.,Middleweight Bout,0,0,-7,20,1,-1,-7,-6,-1,0,0,0,0,0,0,0.016666667,0,0,-7,28,10,-5,-12,-7,0,0,0,0,0,0,0,0,0,0,11,18,21,-2,-8,11,0,0,0,0,0,0,0,0,0,0,-10,-7,-15,3,2,-9,-1,0,0,0,0,0,0,0,0,0,17,21,31,-10,-4,15,2,0,0,0,0,0,0,0
Edson Barboza,Lerone Murphy,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Sal D'amato 45 - 50. Ron McCarthy 45 - 50.,Featherweight Bout,-4,0,-9,0,-12,-4,7,-8,1,-2,0,0,0,0,0,-0.233333333,-15,-3,-24,-7,-31,1,6,-20,-4,0,0,-1,0,0,0,-1.433333333,-4,-3,-37,0,-35,-4,2,-33,-4,0,0,-1,-2,0,0,-1.133333333,0,0,4,5,0,2,2,4,0,0,0,0,0,0,0,0,-10,-1,-27,19,-21,-2,-4,-24,-3,0,0,-2,0,0,0,-1.816666667
Alexandre Pantoja,Steve Erceg,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Fabio Alves 47 - 48. Sal D'amato 47 - 48. Dave Tirelli 46 - 49.,UFC Flyweight Title Bout,2,0,13,7,5,5,3,5,0,8,0,2,3,0,0,1.866666667,-1,-2,-5,10,-7,1,1,-10,4,1,0,3,2,0,-1,1.2,-1,0,12,0,-2,11,3,4,7,1,0,3,0,0,0,1.883333333,-7,-1,8,20,9,-2,1,12,0,-4,0,-1,-2,0,0,-2.583333333,0,1,2,-1,-3,4,1,-2,0,4,0,0,2,0,0,2.583333333
Zhang Weili,Yan Xiaonan,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Mike Bell 45 - 49. Ben Cartlidge 45 - 49. Chris Lee 45 - 49.,UFC Women's Strawweight Title Bout,3,0,10,-3,3,4,3,8,-1,3,0,0,0,1,0,0.733333333,9,0,50,-4,47,1,2,2,0,48,0,1,0,1,-1,3.683333333,20,4,-14,5,-3,2,-13,-1,2,-15,-1,-2,3,0,0,-1.416666667,-28,10,15,8,12,3,0,3,0,12,0,0,0,0,0,-0.133333333,54,2,2,3,4,-1,-1,0,0,2,0,2,0,0,0,3.833333333
Brendan Allen,Chris Curtis,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Derek Cleary 47 - 48. Mike Bell 48 - 47. Eric Colon 46 - 49.,Middleweight Bout,-1,0,9,-10,4,2,3,9,0,0,0,1,0,0,0,1.2,0,0,-17,3,-16,-2,1,-18,1,0,0,0,1,0,0,0.116666667,8,2,0,-3,-4,-1,5,0,0,0,0,1,0,0,0,2.05,0,2,12,-8,6,4,2,14,-2,0,0,0,-4,0,0,0.166666667,-11,-3,-8,12,-7,-2,1,-9,1,0,0,2,5,0,-1,0.1
Erin Blanchfield,Manon Fiorot,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Vitor Ribeiro,Eric Colon 45 - 50. Sal D'amato 45 - 50. Chris Lee 45 - 50.,Women's Flyweight Bout,-1,1,-7,8,-11,1,3,-4,-3,0,0,-1,0,1,0,-0.316666667,1,-1,-6,22,-7,0,1,-7,1,0,0,0,1,0,0,-0.033333333,0,1,-5,3,-9,3,1,-8,3,0,0,0,1,0,0,-0.083333333,-1,-1,10,3,4,6,0,11,-1,0,0,0,1,0,0,-0.35,-4,1,-15,14,-18,-2,5,-15,0,0,0,0,0,0,0,0.35
Amanda Ribas,Rose Namajunas,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Mike Bell 46 - 49. Junichiro Kamijo 46 - 49. Sal D'amato 47 - 48.,Women's Flyweight Bout,2,-7,-7,20,2,-14,5,-2,-5,0,0,2,1,0,-1,-1.616666667,-17,-1,-4,14,-5,-3,4,-4,0,0,0,0,1,0,0,-2,12,6,-1,15,-1,-4,4,-2,-2,3,0,2,1,0,0,0.933333333,18,8,-14,-32,-8,-7,1,-13,-1,0,0,0,0,0,0,0,0,0,-1,32,-1,-3,3,0,-1,0,0,0,-1,0,0,0
Sean O'Malley,Marlon Vera,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Eric Colon 45 - 50. Chris Lee 45 - 50. Sal D'amato 44 - 50.,UFC Bantamweight Title Bout,0,0,18,-3,6,9,3,18,0,0,0,0,0,0,0,0,0,0,35,2,29,11,-5,35,0,0,0,0,0,0,0,0,0,0,18,-14,14,9,-5,18,0,0,0,0,0,0,0,0.05,0,0,-5,-6,-2,-5,2,-2,-3,0,0,0,0,0,0,0,1,0,40,8,33,12,-5,41,-1,0,0,0,0,0,0,0
Brandon Moreno,Brandon Royval,0,1,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48. Junichiro Kamijo 49 - 46. Chris Lee 47 - 48.,Flyweight Bout,0,0,3,-23,0,0,3,3,0,0,0,0,0,0,0,0,-4,1,4,-46,6,-3,1,2,1,1,0,1,0,0,0,0.616666667,-1,-1,-8,-40,-6,-4,2,-9,0,1,0,2,0,0,0,0.45,-7,0,0,4,-8,3,5,2,-2,0,0,0,1,0,0,-1.833333333,-9,-6,-12,-74,-19,4,3,-15,3,0,0,0,0,0,0,1.8
Jack Hermansson,Joe Pyfer,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Mike Bell 47 - 48. Sal D'amato 47 - 48. Chris Lee 47 - 48.,Middleweight Bout,0,0,-8,-12,-8,-1,1,-8,0,0,0,0,0,0,0,0,0,0,-3,-19,0,-8,5,-3,0,0,0,0,1,0,0,0.116666667,6,2,17,-13,13,0,4,13,4,0,0,0,-3,0,0,0,-11,-19,17,7,7,2,8,21,1,-5,0,-1,0,0,0,-3.016666667,34,21,12,0,11,-1,2,7,0,5,0,1,0,0,0,3.016666667
Roman Dolidze,Nassourdine Imavov,0,1,Decision - Majority,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 44 - 49. Ron McCarthy 47 - 47. Sal D'amato 46 - 48.,Middleweight Bout,-18,-14,-43,1,-34,-6,-3,-11,-4,-28,-1,0,1,-1,0,0.3,7,7,-4,12,0,-3,-1,-5,1,0,0,0,0,0,0,2.55,1,2,-12,8,-5,-6,-1,-8,-4,0,0,0,0,0,0,1.766666667,4,1,-1,3,1,0,-2,-1,0,0,0,0,-3,0,1,1.383333333,-4,0,-11,7,-11,-2,2,-5,-3,-3,0,0,3,0,0,-0.4
Sean Strickland,Dricus Du Plessis,0,1,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 48 - 47. Derek Cleary 47 - 48. Eric Colon 47 - 48.,UFC Middleweight Title Bout,4,0,16,8,20,-1,-3,16,0,0,0,-2,-1,0,0,-0.466666667,4,0,-4,6,9,-8,-5,-3,-1,0,0,-1,0,0,0,-0.366666667,0,-1,2,1,16,-8,-6,3,-1,0,0,0,0,0,0,0,1,1,-20,6,-16,-3,-1,-20,0,0,0,0,0,0,0,0,0,0,18,-5,21,-2,-1,18,0,0,0,0,-2,0,0,0
Raquel Pennington,Mayra Bueno Silva,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jerin Valel,Eric Colon 46 - 49. Sal D'amato 46 - 49. Saleem Haniff 45 - 49.,UFC Women's Bantamweight Title Bout,6,2,-7,7,-4,0,-3,2,-8,-1,0,-2,2,0,0,-3.066666667,5,-2,13,9,22,-6,-3,16,-2,-1,0,0,-1,-1,1,-1.7,22,0,10,13,7,3,0,5,1,4,0,1,-2,-1,0,0.95,15,-4,-5,-3,2,2,-9,-3,-2,0,0,0,0,-2,1,-1.033333333,26,6,27,11,15,5,7,2,7,18,0,0,-2,2,0,4.216666667
Leon Edwards,Colby Covington,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Sal D'amato 46 - 49. Chris Lee 46 - 49.,UFC Welterweight Title Bout,0,0,3,0,0,1,2,3,0,0,0,0,-1,0,0,0,0,0,5,-14,3,2,0,5,0,0,0,0,0,0,0,0,-5,0,5,-14,2,0,3,5,0,0,0,0,-1,0,0,-0.266666667,-7,0,8,9,0,5,3,9,0,-1,0,-1,0,0,1,-0.783333333,-46,-3,2,-1,3,-1,0,1,0,1,0,0,0,1,0,-2.083333333
Alexandre Pantoja,Brandon Royval,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Junichiro Kamijo 45 - 50. Ron McCarthy 45 - 50. Eric Colon 46 - 49.,UFC Flyweight Title Bout,-25,-4,14,-4,-2,9,7,10,2,2,0,1,1,0,0,2.816666667,-54,-5,-2,1,-4,1,1,-2,0,0,0,2,1,0,0,3.733333333,-33,5,-7,-13,-16,4,5,-5,0,-2,0,2,2,0,-1,2.116666667,-7,1,-41,-32,-30,-2,-9,-34,0,-7,0,-1,1,1,0,1.633333333,-7,-2,-14,-10,-24,1,9,-19,-2,7,0,2,0,0,0,2.566666667
Song Yadong,Chris Gutierrez,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 44 - 50. Junichiro Kamijo 45 - 50. Ron McCarthy 45 - 50.,Bantamweight Bout,0,0,-12,-3,2,2,-16,-12,0,0,0,0,0,0,0,0,6,5,-11,7,-1,2,-12,-12,0,1,0,1,0,0,0,1.866666667,0,1,-7,7,2,3,-12,-9,2,0,0,1,1,0,0,0.216666667,3,7,-5,4,-4,0,-1,2,2,-9,0,0,0,0,0,-0.433333333,29,9,16,9,15,1,0,0,0,16,0,0,-1,0,0,4.683333333
Jailton Almeida,Derrick Lewis,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Fabio Alves 44 - 50. Sal D'amato 44 - 50. Dave Tirelli 45 - 50.,Heavyweight Bout,4,-1,5,-1,4,1,0,3,0,2,0,1,1,2,0,4.6,8,-2,5,1,5,0,0,-1,0,6,0,1,0,2,0,4.316666667,13,1,14,0,14,0,0,0,3,11,0,1,1,0,1,3.4,-1,6,2,-2,0,1,1,2,0,0,0,-1,-4,0,0,0.466666667,27,3,-6,-1,-6,0,0,0,-1,-5,0,2,4,0,0,3.516666667
Sodiq Yusuff,Edson Barboza,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 46 - 49. Derek Cleary 46 - 48. Sal D'amato 46 - 48.,Featherweight Bout,12,10,29,26,31,-2,0,11,3,15,1,1,0,0,0,3.25,-1,0,11,3,17,-20,14,9,2,0,0,0,0,0,0,0.483333333,-10,-7,-3,-7,3,-11,5,2,0,-5,-1,0,0,0,0,-1.066666667,-6,-5,5,19,2,-1,4,8,-3,0,0,0,1,0,0,0.2,10,5,-11,-10,4,-21,6,-1,-10,0,0,-3,-1,0,0,-1.633333333
Alexa Grasso,Valentina Shevchenko,1,0,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Junichiro Kamijo 47 - 48. Sal D'amato 48 - 47. Mike Bell 47 - 47.,UFC Women's Flyweight Title Bout,37,0,-2,3,-2,-2,2,-3,1,0,0,-1,-1,0,0,-1.333333333,11,7,13,0,11,6,-4,3,16,-6,1,-1,0,0,0,-2.716666667,0,6,-5,2,-3,0,-2,-5,0,0,0,-1,0,-1,1,-3.066666667,-5,-8,0,-7,2,0,-2,-6,7,-1,0,1,-1,-1,0,-0.883333333,5,9,-3,10,-9,0,6,-4,0,1,0,0,0,1,0,1.5
Israel Adesanya,Sean Strickland,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. David Lethaby 46 - 49. Clemens Werner 46 - 49.,UFC Middleweight Title Bout,0,0,-15,2,-21,2,4,1,-11,-5,-1,0,0,0,0,-0.233333333,0,0,4,28,-8,2,10,4,0,0,0,0,0,0,0,0,0,0,1,15,-8,2,7,1,0,0,0,0,0,0,0,0,0,0,-1,-8,6,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,-15,4,-14,-5,4,-15,0,0,0,0,0,0,0,0
Zhang Weili,Amanda Lemos,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Kevin MacDonald,Sal D'amato 43 - 50. Chris Lee 44 - 50. Nick Mahmood 45 - 49.,UFC Women's Strawweight Title Bout,29,5,43,11,36,5,2,2,0,41,0,1,0,-1,0,4.55,32,1,12,-2,6,6,0,1,4,7,0,2,0,0,0,3.783333333,8,0,15,2,7,5,3,3,8,4,0,1,1,0,0,2.65,-59,-2,-27,4,-35,-2,10,18,-1,-44,-1,0,0,0,0,-3.35,59,2,54,11,42,11,1,7,3,44,1,1,0,0,0,3.95
Vicente Luque,Rafael Dos Anjos,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Ron McCarthy 46 - 49. Sal D'amato 47 - 48. Junichiro Kamijo 47 - 48.,Welterweight Bout,1,0,-1,-4,1,-2,0,2,-7,4,0,1,-3,-1,0,0.166666667,17,1,1,3,3,-2,0,7,-6,0,0,1,-1,0,0,1.8,8,0,7,5,4,1,2,6,1,0,0,0,1,0,0,0.966666667,0,5,-7,-1,-8,2,-1,-9,2,0,0,0,-2,0,0,1.05,7,0,-2,-7,-3,1,0,4,-4,-2,0,2,2,0,0,1.916666667
Cory Sandhagen,Rob Font,1,0,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Mike Bell 45 - 50. Derek Cleary 45 - 50. Sal D'amato 45 - 50.,Catch Weight Bout,18,5,3,1,4,0,-1,1,0,2,0,1,0,0,0,2.333333333,27,7,7,1,6,0,1,1,0,6,0,1,0,0,0,4.683333333,17,6,6,8,6,0,0,-2,0,8,0,1,0,0,0,3.716666667,15,2,3,0,3,0,0,0,0,3,0,1,0,-1,0,0.85,-1,3,3,-1,3,0,0,1,0,2,0,1,-1,1,0,3.083333333
Brandon Moreno,Alexandre Pantoja,0,1,Decision - Split,5,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Ben Cartlidge 49 - 46. Derek Cleary 47 - 48. Junichiro Kamijo 47 - 48.,UFC Flyweight Title Bout,0,-11,-6,-12,-3,-2,-1,1,-2,-5,-1,0,-1,0,0,0.55,-3,0,8,-5,10,-2,0,7,0,1,0,2,0,0,0,1.383333333,1,-2,3,-4,10,-7,0,7,-2,-2,0,-2,-1,0,2,-1.4,3,0,4,3,2,2,0,-2,5,1,0,0,0,0,1,0.4,-10,-1,2,-13,1,1,0,1,1,0,0,-1,0,0,0,-2.283333333
Josh Emmett,Ilia Topuria,0,1,Decision - Unanimous,5,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 44 - 50. Chris Lee 42 - 50. Eric Colon 45 - 49.,Featherweight Bout,0,0,-7,19,-6,0,-1,-7,0,0,0,0,0,0,0,0,0,0,-11,4,-17,6,0,-6,0,-5,0,0,0,0,0,-0.066666667,0,0,-6,-4,-14,4,4,-6,0,0,0,0,0,0,0,0,2,0,3,13,1,3,-1,3,0,0,0,0,0,0,0,0,-13,0,2,12,0,3,-1,5,0,-3,0,-3,0,0,0,-2.55
